NPC ID,NPC friendliness,NPC item value,NPC quest value,NPC gender,NPC class,NPC area level
301,15.864552816517275,-2,5,F,Fighter,40
302,60.62509320797294,2,-5,F,Mage,10
303,0.960999761638226,0,1,M,Thief,10
304,76.02061937605761,3,-5,M,Thief,10
305,31.72079781646635,0,-2,F,Thief,30
306,13.681255954885362,0,5,M,Mage,10
307,42.15104806561249,-5,-3,M,Mage,30
308,22.170574642202634,-2,5,F,Mage,20
309,62.49057371072936,-5,-3,M,Thief,40
310,3.0017475970656404,-1,-5,F,Mage,30
311,22.703319377608643,-2,-5,M,Mage,10
312,11.636342266143917,4,5,M,Mage,10
313,69.95538112891862,5,-5,F,Thief,10
314,89.67271066293281,-2,-2,F,Fighter,30
315,62.99707620899031,-3,-3,F,Fighter,20
316,1.2150236411475612,0,-3,F,Thief,30
317,35.912081026770906,4,2,M,Thief,40
318,66.6477814776001,3,2,F,Mage,30
319,57.276318201961786,0,-3,M,Mage,40
320,10.408647690697304,-5,4,F,Fighter,40
321,87.26313619621637,0,-1,F,Mage,30
322,51.78797314431838,4,2,F,Fighter,40
323,77.6589089894454,-2,3,F,Mage,30
324,45.765377209517865,-5,0,M,Fighter,40
325,36.09960329726225,-3,2,F,Fighter,30
326,7.973977047111813,-1,-1,M,Mage,20
327,57.256004750735414,-4,2,M,Mage,20
328,48.44020129073097,-2,0,F,Thief,30
329,71.7941921089573,0,-1,F,Mage,10
330,9.235902810320773,5,-4,M,Thief,10
331,36.251183518528684,2,-5,F,Mage,40
332,30.73891491541073,3,-2,F,Thief,10
333,40.023369135059426,-2,5,F,Fighter,30
334,63.99816063547905,0,1,M,Fighter,40
335,31.873116284983695,2,-1,F,Fighter,30
336,54.02764446141261,-5,1,F,Thief,40
337,9.65034061855513,-1,1,F,Thief,40
338,48.776995405831094,4,-5,F,Fighter,40
339,17.499374496829056,5,3,F,Fighter,10
340,68.77686995830287,3,0,F,Thief,20
341,50.60321966785639,-2,3,F,Fighter,10
342,5.4341137559026365,5,1,M,Mage,40
343,88.4537400355608,1,-4,M,Mage,10
344,66.32168627230759,4,1,M,Fighter,20
345,15.721708749473784,-5,-4,M,Fighter,30
346,27.457338259666063,-3,5,F,Fighter,30
347,48.68838737183302,5,0,F,Mage,10
348,9.481574553145379,-3,1,F,Thief,30
349,9.512073999700677,3,-1,M,Fighter,30
350,96.9166593078555,5,5,F,Mage,40
